datatype,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,barytol,barytype,inttol,nnMax,nn_rmse,nn_mae,nints,numnonints,int_fraction,barypars,genseed,errmetrics,rmse,mae
brk,pbary,0.0001,0,26-Oct-2020 22:52:04,50000,10000,12,7368483,47e371e3,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.85646034924293,0.696208893887426,45.829054,5363.110239,,0.1,planar,0.01,10,0.0837392264853139,0.0636165484468798,9912,88,0.9912,,69978,,0.0603759064661353,0.0419202493133422
brk,pbary,0.0001,0,26-Oct-2020 23:35:05,50000,10000,12,7368483,1c3dea82,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.86301715230387,0.699090062151397,53.419714,5616.609954,,0.1,planar,0.01,10,0.0952969368380918,0.0701126048565049,9933,67,0.9933,,28470,,0.0608893568721239,0.0421554010460004
brk,pbary,0.0001,0,27-Oct-2020 00:26:52,50000,10000,12,7368483,fb0c8768,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.86044565308632,0.69441668685081,47.01019,5788.658251,,0.1,planar,0.01,10,0.113751569307557,0.0729016340311175,9944,56,0.9944,,92734,,0.0610540866521706,0.0415042624658167
brk,pbary,0.0001,0,26-Oct-2020 21:11:23,50000,10000,12,7f39fc1,49ed1f58,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.86223114794938,0.696579190660388,46.093233,5251.689096,,0.1,planar,0.01,10,0.0926750524765713,0.0688727616370904,9944,56,0.9944,,63570,,0.0598525859813696,0.041050953573919
kim,pbary,0.0001,0,26-Oct-2020 21:05:45,50000,10000,12,7f39fc1,9f616492,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.41400046134026,1.06270967664376,70.971308,10047.461148,,0.1,planar,0.01,10,0.153545872291135,0.109295443037975,9921,79,0.9921,,15934,,0.0847519793189212,0.0603572781545344
brk,pbary,0.0001,0,27-Oct-2020 00:01:27,50000,10000,12,7368483,f2474df5,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.85634098392741,0.692211619329137,73.449803,7304.933429,,0.1,planar,0.01,10,0.0786093536045011,0.0637620104650735,9946,54,0.9946,,11957,,0.0620950646843369,0.0425095622433408
kim,pbary,0.0001,0,26-Oct-2020 22:48:10,50000,10000,12,7368483,d24d1cfa,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.41436722262473,1.05904895390913,57.607405,10521.618599,,0.1,planar,0.01,10,0.105605432705898,0.0807721384615384,9935,65,0.9935,,70137,,0.084160389344488,0.0598667343784021
brk,pbary,0.0001,0,26-Oct-2020 21:07:22,50000,10000,12,7f39fc1,d3e3a371,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.86035120472667,0.696706796405348,68.928277,5474.48297,,0.1,planar,0.01,10,0.0858157616064003,0.0649550704314041,9926,74,0.9926,,23107,,0.0604220803132396,0.0419811738905211
kim,pbary,0.0001,0,26-Oct-2020 23:41:39,50000,10000,12,7368483,640a94f0,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.39666677851201,1.06597174130516,54.448216,9653.512892,,0.1,planar,0.01,10,0.0951541244636398,0.0707172558139535,9914,86,0.9914,,14150,,0.0858117765766166,0.0610784402742432
brk,pbary,0.0001,0,26-Oct-2020 23:14:37,50000,10000,12,7368483,4b23c659,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.86081667738138,0.688923495244448,51.464458,6239.228179,,0.1,planar,0.01,10,0.0855595049229586,0.0593792564653386,9923,77,0.9923,,6530,,0.0607931401217626,0.0417971767040181
brk,pbary,0.0001,0,26-Oct-2020 21:03:59,50000,10000,12,7f39fc1,38e475b9,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.85203260204442,0.690358747859746,62.746314,5980.921755,,0.1,planar,0.01,10,0.0855452576991304,0.0629861307915787,9928,72,0.9928,,74894,,0.0601230597808562,0.0416263875216435
kim,pbary,0.0001,0,26-Oct-2020 21:40:00,50000,10000,12,7f39fc1,56ffd9ef,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.4079406265322,1.06161380877732,58.321042,10057.058468,,0.1,planar,0.01,10,0.0997325572099571,0.0768772417582418,9909,91,0.9909,,22733,,0.0845863235923412,0.0601667742763108
kim,pbary,0.0001,0,26-Oct-2020 21:03:37,50000,10000,12,7f39fc1,b229428d,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.42343347974303,1.06324808065884,66.092624,10091.347992,,0.1,planar,0.01,10,0.100725526639513,0.0753637228915663,9917,83,0.9917,,30676,,0.0857559035676418,0.0613713864060945
brk,pbary,0.0001,0,26-Oct-2020 23:31:57,50000,10000,12,7368483,42378af5,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.8628218006399,0.694028654586532,53.534639,6213.704808,,0.1,planar,0.01,10,0.0996181362911199,0.0681369328400423,9928,72,0.9928,,54925,,0.0606313780605309,0.0419584037088394
brk,pbary,0.0001,0,26-Oct-2020 21:12:18,50000,10000,12,7f39fc1,35fd1733,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.86719923795145,0.692715137502257,50.758747,5736.559281,,0.1,planar,0.01,10,0.105731610600042,0.0801058773460971,9936,64,0.9936,,49152,,0.0611290728532578,0.041878798010676
